address,exhibit_url,registration_number,country_name,state,foreign_principal,date,registration_date,url,registration
Beijing  ,http://www.fara.gov/docs/5143-Exhibit-AB-19961203-E424NS03.pdf,5143,CHINA,,People's Daily Overseas Edition,12/03/1996,12/03/1996,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5143,Exhibit%20AB,CHINA","Hai Tian Development U.S.A., Inc."
Bogota  ,http://www.fara.gov/docs/5143-Exhibit-AB-19961203-E424NS03.pdf,3718,COLOMBIA,CO,"Aerovias Nacionales de Colombia, S.A. (AVIANCA)",12/12/1985,08/07/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3718,Exhibit%20AB,COLOMBIA",Holland & Knight
"2300 Connecticut Avenue, NW",http://www.fara.gov/docs/5875-Exhibit-AB-20100803-10.pdf,2165,CHINA,DC,Embassy of the People's Republic of China,07/21/2005,10/09/1969,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2165,Exhibit%20AB,CHINA","Squire Patton Boggs, LLP"
  ,,5430,CONGO (KINSHASA) (ZAIRE),,Democratic Republic of the Congo,09/06/2016,05/10/2001,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5430,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","BGR Government Affairs, LLC"
Rosseau  ,,5334,CONGO (KINSHASA) (ZAIRE),,"Commonwealth of Dominica, Office of Ministry of Finance, Industry and Trade",10/12/1999,10/12/1999,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5334,Exhibit%20AB,DOMINICA","Commonwealth of Dominica Maritime Registry, Inc."
"Avenue Charles Woeste, 131 a 1090 Jette",,6359,CONGO (KINSHASA) (ZAIRE),,DRC Democracy and Development Alliance,06/13/2016,06/13/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6359,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","McMark, LLC"
c/o ask LLC,,6278,CONGO (KINSHASA) (ZAIRE),DE,Moise Katumbi through Akin Gump Strauss Hauer & Feld LLP,04/27/2016,03/03/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6278,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","DCI Group AZ, LLC"
Abidjan  ,,4990,COTE D'IVOIRE (IVORY COAST),,Government  of the Republic of Cote d'Ivoire,12/28/2010,02/06/1995,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4990,Exhibit%20AB,COTE%20D%27IVOIRE%20(IVORY%20COAST)","JWI, LLC"
c/o ask LLC,,3492,CONGO (KINSHASA) (ZAIRE),DE,"Katumbi, Moise",04/22/2016,06/24/1983,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3492,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","Akin, Gump, Strauss, Hauer & Feld, LLP"
Dezmanova 10 Zagreb  ,http://www.fara.gov/docs/2165-Exhibit-AB-19990219-F8QT1T01.pdf,2165,CROATIA,,Republic of Croatia,08/05/2011,10/09/1969,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2165,Exhibit%20AB,CROATIA","Squire Patton Boggs, LLP"
"Office of the President,",,6082,COTE D'IVOIRE (IVORY COAST),,Government of Cote d'Ivoire,12/21/2011,12/21/2011,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6082,Exhibit%20AB,COTE%20D%27IVOIRE%20(IVORY%20COAST)",LTL Strategies
"1667 K Street, NW",,6377,CYPRUS,DC,Turkish Republic of Northern Cyprus (TRNC),09/19/2016,09/19/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6377,Exhibit%20AB,CYPRUS",Prime Policy Group
  ,http://www.fara.gov/docs/2619-Exhibit-AB-19751001-D01NHT03.pdf,2619,CYPRUS,,"Turkish Republic of Northern Cyprus, H.E. Mustafa Akinci",10/16/1975,10/16/1975,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2619,Exhibit%20AB,CYPRUS",Representative of the Turkish Republic of Northern Cyprus
Office of the Representative T.R.N.C.,http://www.fara.gov/docs/6320-Exhibit-AB-20170110-3.pdf,6185,CYPRUS,DC,"Turkish Republic of Northern Cyprus (""T.R.N.C."")",09/09/2013,09/09/2013,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6185,Exhibit%20AB,CYPRUS","Herrick, Feinstein LLP"
Reg. no. 36 15 77 63,http://www.fara.gov/docs/6320-Exhibit-AB-20170110-3.pdf,6320,DENMARK,,Rasmussen Global,01/10/2017,09/29/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6320,Exhibit%20AB,DENMARK","Rokk Solutions, LLC"
Praha  ,http://www.fara.gov/docs/6320-Exhibit-AB-20170110-3.pdf,5115,CZECH REPUBLIC,,Czech Ministry of Foreign Affairs,06/21/1996,06/21/1996,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5115,Exhibit%20AB,CZECH%20REPUBLIC","Czech Center, New York"
  ,http://www.fara.gov/docs/634-Exhibit-AB-19500725-CYB2IG03.pdf,634,DENMARK,,VisitDenmark,07/25/1950,07/25/1950,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:634,Exhibit%20AB,DENMARK",VisitDenmark
  ,http://www.fara.gov/docs/2165-Exhibit-AB-19990219-F8QT1T01.pdf,5788,CONGO (KINSHASA) (ZAIRE),,Democratic Republic of the Congo,05/02/2015,01/26/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5788,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","KRL International, LLC"
"Ave. Mexico, Gazcue Distrito Nacional, Santo Domingo  ",http://www.fara.gov/docs/5478-Exhibit-AB-20140127-17.pdf,5478,DOMINICAN REPUBLIC,,Government of the Dominican Republic,07/16/2015,03/04/2002,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5478,Exhibit%20AB,DOMINICAN%20REPUBLIC","Harbour Group, LLC"
"c/o Partido del Progreso - EG, USA Inc.",http://www.fara.gov/docs/5478-Exhibit-AB-20140127-17.pdf,6305,DOMINICAN REPUBLIC,NY,"Partido del Progreso-EG, USA Inc.",04/13/2016,07/20/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6305,Exhibit%20AB,EQUATORIAL%20GUINEA","Scribe Strategies & Advisors, Inc."
Santo Domingo  ,http://www.fara.gov/docs/5478-Exhibit-AB-20140127-17.pdf,4460,DOMINICAN REPUBLIC,,Government of the Dominican Republic,01/09/1991,01/09/1991,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4460,Exhibit%20AB,DOMINICAN%20REPUBLIC","Johnson II, Robert Winthrop"
  ,http://www.fara.gov/docs/5945-Exhibit-AB-20090626-1.pdf,5945,ECUADOR,,Embassy of the Republic of Ecuador,01/31/2011,06/26/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5945,Exhibit%20AB,ECUADOR",Fenton Communications
Av. Colo' n E4 105 y de Octubre Edificio olarnar Oficina 102 Quinto  ,,6308,ECUADOR,,"Coordinamos Cia Ltda., on behalf of Koenig & Partners - Ministry of Tourism of Ecuador",07/29/2015,07/29/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6308,Exhibit%20AB,ECUADOR","Porter Novelli, Inc."
"NNUU 1014 Yama Zonas  edf. La Previsora Torre A, Piso 8 Oficina 802",http://www.fara.gov/docs/6224-Exhibit-AB-20150630-3.pdf,6224,ECUADOR,,Ministry of Tourism of Ecuador through EKOS Corp.,06/30/2015,05/23/2014,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6224,Exhibit%20AB,ECUADOR","Alpaytac, Inc."
"2535 15th Street, NW",http://www.fara.gov/docs/5758-Exhibit-AB-20140401-6.pdf,5758,ECUADOR,DC,"Republic of Ecuador, Embassy",04/01/2014,05/09/2006,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5758,Exhibit%20AB,ECUADOR",Ketchum Inc. NY
"2535 15th Street, NW",http://www.fara.gov/docs/6224-Exhibit-AB-20150630-3.pdf,3712,ECUADOR,DC,"Republic of Ecuador, Embassy",08/26/2016,08/05/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3712,Exhibit%20AB,ECUADOR",DLA Piper US LLP
"3521 International Ct., NW",http://www.fara.gov/docs/5666-Exhibit-AB-20131011-31.pdf,5666,EGYPT,DC,Government of the Arab Republic of Egypt,10/11/2013,01/31/2005,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5666,Exhibit%20AB,EGYPT","Glover Park Group, LLC"
  ,http://www.fara.gov/docs/5666-Exhibit-AB-20131011-31.pdf,5875,ECUADOR,,Republic of Ecuador,06/25/2012,06/17/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5875,Exhibit%20AB,ECUADOR",BLJ Worldwide LTD
  ,http://www.fara.gov/docs/5483-Exhibit-AB-20090818-16.pdf,3911,EGYPT,,Government of the Arab Republic of Egypt,01/28/2017,12/01/1986,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3911,Exhibit%20AB,EGYPT","CMGRP, Inc."
Mataria Street El Qobba Square,http://www.fara.gov/docs/5483-Exhibit-AB-20090818-16.pdf,6272,EGYPT,,Government of the Arab Republic of Egypt,01/28/2017,01/16/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6272,Exhibit%20AB,EGYPT","Cassidy & Associates, Inc."
Malabo  ,http://www.fara.gov/docs/5483-Exhibit-AB-20090818-16.pdf,5483,EQUATORIAL GUINEA,,Republic of Equatorial  Guinea ,08/16/2009,03/06/2002,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5483,Exhibit%20AB,EQUATORIAL%20GUINEA","MSLGROUP Americas, Inc."
Prolongacion Calle Arce  Entre 45 y47 Avenida Norte #2429,http://www.fara.gov/docs/6167-Exhibit-AB-20130503-1.pdf,6167,EL SALVADOR,,Nationalist Republican Alliance (ARENA),05/03/2013,05/03/2013,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6167,Exhibit%20AB,EL%20SALVADOR","Valladares, Fernando"
1113 Kerkebt,http://www.fara.gov/docs/5833-Exhibit-AB-20071026-3.pdf,5888,ETHIOPIA,,Oromo Liberation Front,10/09/2008,10/09/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5888,Exhibit%20AB,ETHIOPIA",Front for Independence of Oromia (FIO)
"Stenbock House, Rahukohtu 3",http://www.fara.gov/docs/5833-Exhibit-AB-20071026-3.pdf,5833,ESTONIA,,Government of Estonia,10/26/2007,10/26/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5833,Exhibit%20AB,ESTONIA",Enterprise Estonia in San Jose
"3506 International Drive, NW",http://www.fara.gov/docs/4789-Exhibit-AB-19930401-D1Y17O02.pdf,6379,ETHIOPIA,DC,Federal Democratic Republic of Ethiopia,01/27/2017,09/20/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6379,Exhibit%20AB,ETHIOPIA",S.G.R. LLC Government Relations and Lobbying
P.O. Box 6185,http://www.fara.gov/docs/4789-Exhibit-AB-19930401-D1Y17O02.pdf,5895,ETHIOPIA,,Oromo Liberation Front (OLF),12/01/2008,12/01/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5895,Exhibit%20AB,ETHIOPIA",Oromo Liberation Front Foreign Relations Office in North America (OLF-FRONA)
Paris  ,http://www.fara.gov/docs/4789-Exhibit-AB-19930401-D1Y17O02.pdf,4789,ETHIOPIA,,Ethiopian People's Revolutionary Party,04/07/1993,04/07/1993,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4789,Exhibit%20AB,ETHIOPIA",Ethiopian People's Revolutionary Party
Addis Ababa  ,http://www.fara.gov/docs/6376-Exhibit-AB-20160915-1.pdf,4610,ETHIOPIA,,Oromo Liberation Front (OLF),01/29/1992,01/29/1992,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4610,Exhibit%20AB,ETHIOPIA","Oromo Liberation Front, North America Office"
"Tbilisi, Georgia 0175",http://www.fara.gov/docs/5833-Exhibit-AB-20071026-3.pdf,5198,ESTONIA,,Government of Georgia,04/24/2015,07/31/1997,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5198,Exhibit%20AB,GEORGIA","Pillsbury Winthrop Shaw Pittman, LLP"
Office of the President,http://www.fara.gov/docs/6376-Exhibit-AB-20160915-1.pdf,6376,GABON,,Gabonese Republic,09/15/2016,09/15/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6376,Exhibit%20AB,GABON",Ogilvy Public Relations
Presidency of Gabon,http://www.fara.gov/docs/6356-Exhibit-AB-20160606-1.pdf,2165,GABON,,Government of the Gabonese Republic,03/20/2014,10/09/1969,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2165,Exhibit%20AB,GABON","Squire Patton Boggs, LLP"
Libreville  ,http://www.fara.gov/docs/6356-Exhibit-AB-20160606-1.pdf,6356,GABON,,Gabonese Republic,06/06/2016,06/06/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6356,Exhibit%20AB,GABON","Bryan Cave, LLP"
Libreville  ,http://www.fara.gov/docs/5928-Exhibit-AB-20160708-25.pdf,5928,GABON,,"Jean Ping, Gabonese Presidential Candidate",07/08/2016,04/10/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5928,Exhibit%20AB,GABON","Nelson Mullins Riley & Scarborough, LLP"
Libreville  ,http://www.fara.gov/docs/6262-Exhibit-AB-20160730-3.pdf,6129,GABON,,Gabonese Republic,08/30/2012,08/30/2012,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6129,Exhibit%20AB,GABON",Pearson & Associates
Libreville  ,http://www.fara.gov/docs/6262-Exhibit-AB-20160730-3.pdf,6262,GABON,,"Jean Ping, Gabonese Presidential Candidate thru Nelson Mullins Riley & Scarborough, LLP",07/30/2016,11/11/2014,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6262,Exhibit%20AB,GABON","CD Global Strategies Group, LLC"
"5630 16th Street, NW",http://www.fara.gov/docs/6262-Exhibit-AB-20160730-3.pdf,6305,GAMBIA,DC,Government of the Republic of the Gambia,01/20/2017,07/20/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6305,Exhibit%20AB,GAMBIA","Scribe Strategies & Advisors, Inc."
"2034 20th Street, NW",http://www.fara.gov/docs/6262-Exhibit-AB-20160730-3.pdf,3634,GABON,DC,Embassy of the Gabonese Republic,10/27/2016,11/15/1984,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3634,Exhibit%20AB,GABON","Daniel J. Edelman, Inc."
London  ,http://www.fara.gov/docs/4883-Exhibit-AB-19940101-D1YHON02.pdf,4883,GEORGIA,,Lloyd's of London,01/06/1994,01/06/1994,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4883,Exhibit%20AB,GREAT%20BRITAIN",Lloyd's of London Market Representatives
"45a, Kakheti Highway 0198 Tbilisi  ",http://www.fara.gov/docs/4883-Exhibit-AB-19940101-D1YHON02.pdf,6132,GEORGIA,,United National Movement of Georgia,04/28/2014,09/12/2012,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6132,Exhibit%20AB,GEORGIA","Fianna Strategies, LLC"
"Erekle II Square No 3, Tbilisi  ",http://www.fara.gov/docs/4883-Exhibit-AB-19940101-D1YHON02.pdf,6369,GEORGIA,,Georgian Dream,08/11/2016,08/11/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6369,Exhibit%20AB,GEORGIA",Impact Management Group
124 West Capitol Avenue,http://www.fara.gov/docs/6373-Exhibit-AB-20160908-1.pdf,6373,GEORGIA,AZ,Georgian Dream Party through Impact Management Group,09/08/2016,09/08/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6373,Exhibit%20AB,GEORGIA","Alpine Group, Inc."
Bonn  ,http://www.fara.gov/docs/4274-Exhibit-AB-19890721-D1N4M802.pdf,4274,GERMANY,,Association of German Chambers of Industry and Commerce (Deutscher Industrie - und Handelstag),07/21/1989,07/21/1989,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4274,Exhibit%20AB,GERMANY",Representative of German Industry and Trade
"Tbilisi, Georgia 0715",http://www.fara.gov/docs/4274-Exhibit-AB-19890721-D1N4M802.pdf,5478,GEORGIA,,Government of Georgia (through Patton Boggs LLP),09/11/2013,03/04/2002,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5478,Exhibit%20AB,GEORGIA","Harbour Group, LLC"
3 Erekle II Square,,6374,GEORGIA,,Georgian Dream Party through Impact Management Group,09/14/2016,09/14/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6374,Exhibit%20AB,GEORGIA",kglobal LLC
Friedrich-Ebert-Allee 140,http://www.fara.gov/docs/5788-Exhibit-AB-20160720-17.pdf,4419,GERMANY,,"Deutsche Telekom, A.G. (formerly:  Deutsche Bundespost Telekom)",10/09/1990,10/09/1990,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4419,Exhibit%20AB,GERMANY","Deutsche Telekom, Inc."
Prinzregentenstrasse 28,,6015,GERMANY,,"Bavarian Ministry of Economic Affairs, Infrastructure, Transport and Technology",01/07/2011,01/07/2011,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6015,Exhibit%20AB,GERMANY","Bavarian U.S. Offices for Economic Development, LLC"
"16 Tubman Road Accra, Ghana  ",http://www.fara.gov/docs/5788-Exhibit-AB-20160720-17.pdf,5788,GHANA,,I Am For Nana Foundation,07/20/2016,01/26/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5788,Exhibit%20AB,GHANA","KRL International, LLC"
  ,http://www.fara.gov/docs/5788-Exhibit-AB-20160720-17.pdf,616,GERMANY,,Deutsche Zentrale fuer Tourismus (German National Tourist Board),02/28/1950,02/28/1950,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:616,Exhibit%20AB,GERMANY",German National Tourist Office
Ministry of the Interior and for Sports Office of the State Secretary  Schillerplatz 3 - 5  55116 Ma  ,http://www.fara.gov/docs/5788-Exhibit-AB-20160720-17.pdf,3712,GERMANY,,German State of Rheinland-Pfalz,09/25/2003,08/05/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3712,Exhibit%20AB,GERMANY",DLA Piper US LLP
Office of the Chief Minister Government of Gibraltar,http://www.fara.gov/docs/3718-Exhibit-AB-20140514-5.pdf,3718,GIBRALTAR,,Government of Gibraltar,05/14/2014,08/07/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3718,Exhibit%20AB,GIBRALTAR",Holland & Knight
 The Presidency  ,http://www.fara.gov/docs/3718-Exhibit-AB-20140514-5.pdf,4990,GHANA,,Government of Ghana,05/20/2014,02/06/1995,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4990,Exhibit%20AB,GHANA","JWI, LLC"
"1520 18th Street, N.W.  20036  ",http://www.fara.gov/docs/3731-Exhibit-AB-19960221-DOU8K201.pdf,3731,GREAT BRITAIN,DC,Hong Kong Trade Development Council,10/15/2002,09/13/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3731,Exhibit%20AB,HONG%20KONG","Sidley Austin, LLP"
"British Embassy 3100 Massachusetts Ave., NW  ",http://www.fara.gov/docs/3731-Exhibit-AB-19960221-DOU8K201.pdf,3718,GREAT BRITAIN,DC,"Government of the United Kingdom, Embassy",08/16/1999,08/07/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3718,Exhibit%20AB,GREAT%20BRITAIN",Holland & Knight
"Barrio Morazan, Frente a Plantas Tropicales",http://www.fara.gov/docs/6106-Exhibit-AB-20120531-1.pdf,6285,HONDURAS,,Corporacion Dinant,03/11/2015,03/11/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6285,Exhibit%20AB,HONDURAS","Tricuro, LLC"
Buckinghamshire  ,http://www.fara.gov/docs/3731-Exhibit-AB-19960221-DOU8K201.pdf,5137,GREAT BRITAIN,,"Urenco, Ltd.",11/08/1996,11/08/1996,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5137,Exhibit%20AB,GREAT%20BRITAIN","Urenco, Inc."
"36-39/F Office Tower, Convention Plaza",http://www.fara.gov/docs/6106-Exhibit-AB-20120531-1.pdf,3492,HONG KONG,,Hong Kong Trade Development Council,02/21/2012,06/24/1983,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3492,Exhibit%20AB,HONG%20KONG","Akin, Gump, Strauss, Hauer & Feld, LLP"
London  ,http://www.fara.gov/docs/579-Exhibit-AB-19490701-CY6JW902.pdf,579,GREAT BRITAIN,,British Tourist Authority,07/07/1949,07/07/1949,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:579,Exhibit%20AB,GREAT%20BRITAIN",VisitBritain
"Colima Avenue, Sunderland Enterprise Park, Sunderland  ",http://www.fara.gov/docs/3731-Exhibit-AB-19960221-DOU8K201.pdf,5246,GREAT BRITAIN,,"City of Sunderland, England",03/01/1998,03/01/1998,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5246,Exhibit%20AB,GREAT%20BRITAIN",Oliver A. Dulle Jr. & Company
"Centro Civico Gubernamental, Boulevard Kuwait, Tegucigalpa  ",http://www.fara.gov/docs/5931-Exhibit-AB-20090602-2.pdf,6364,HONDURAS,,Government of the Republic of Honduras,07/08/2016,07/08/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6364,Exhibit%20AB,HONDURAS","Gus West Government Affairs, Inc."
